,Actor,Unnamed: 1,Born,Died,Age,Nomina-tions,Wins,Lead and sup-porting details,First winning film role or first nomination(also see list of all nominated roles),Firstyear,Lastyear
0,Barkhad Abdi,M,1985,~,37,1,0,S,Captain Phillips,2013,2013
1,F. Murray Abraham,M,1939,~,82,1,1,L,Amadeus,1984,1984
2,Amy Adams,F,1974,~,48,6,0,1L:5S,Junebug,2005,2018
3,Nick Adams,M,1931,1968,36,1,0,S,Twilight of Honor,1963,1963
4,Isabelle Adjani,F,1955,~,67,2,0,L,"Story of Adele H., The",1975,1989
5,Casey Affleck,M,1975,~,47,2,1,1L1:1S0,Manchester by the Sea,2007,2016
6,Shohreh Aghdashloo,F,1952,~,70,1,0,S,House of Sand and Fog,2003,2003
7,Brian Aherne,M,1902,1986,83,1,0,S,Juarez,1939,1939
8,Riz Ahmed,M,1982,~,39,1,0,L,Sound of Metal,2020,2020
9,Danny Aiello,M,1933,2019,86,1,0,S,Do the Right Thing,1989,1989
10,Anouk Aimée,F,1932,~,90,1,0,L,"Man and a Woman, A",1966,1966
11,Eddie Albert,M,1906,2005,99,2,0,S,Roman Holiday,1953,1972
12,Jack Albertson,M,1907,1981,74,1,1,S,"Subject Was Roses, The",1968,1968
13,Alan Alda,M,1936,~,86,1,0,S,"Aviator, The",2004,2004
14,Norma Aleandro,F,1936,~,86,1,0,S,Gaby: A True Story,1987,1987
15,Jane Alexander,F,1939,~,82,4,0,2L:2S,"Great White Hope, The",1970,1983
16,Mahershala Ali,M,1974,~,48,2,2,S,Moonlight [w 1],2016,2018
17,Joan Allen,F,1956,~,66,3,0,1L:2S,"Contender, The",1995,2000
18,Woody Allen,M,1935,~,86,1,0,L,Annie Hall,1977,1977
19,Sara Allgood,F,1880,1950,69,1,0,S,How Green Was My Valley,1941,1941
20,Don Ameche,M,1908,1993,85,1,1,S,Cocoon,1985,1985
21,Judith Anderson,F,1897,1992,94,1,0,S,Rebecca,1940,1940
22,Julie Andrews,F,1935,~,87,3,1,L,Mary Poppins,1964,1982
23,Ann-Margret,F,1941,~,81,2,0,1L:1S,Tommy,1971,1975
24,Yalitza Aparicio,F,1993,~,28,1,0,L,Roma,2018,2018
25,Anne Archer,F,1947,~,75,1,0,S,Fatal Attraction,1987,1987
26,Eve Arden,F,1908,1990,82,1,0,S,Mildred Pierce,1945,1945
27,Alan Arkin,M,1934,~,88,4,1,2L0:2S1,Little Miss Sunshine (2006),1966,2012
28,George Arliss,M,1868,1946,77,1,1,L,Disraeli,1929,1929
29,Patricia Arquette,F,1968,~,54,1,1,S,Boyhood,2014,2014
30,Jean Arthur,F,1900,1991,90,1,0,L,"More the Merrier, The",1943,1943
31,Peggy Ashcroft,F,1907,1991,83,1,1,S,"Passage to India, A",1984,1984
32,Fred Astaire,M,1899,1987,88,1,0,S,"Towering Inferno, The",1974,1974
33,Mary Astor,F,1906,1987,81,1,1,S,"Great Lie, The",1941,1941
34,Mischa Auer,M,1905,1967,61,1,0,S,My Man Godfrey,1936,1936
35,Margaret Avery,F,1944 *,~,78,1,0,S,"Color Purple, The",1985,1985
36,Dan Aykroyd,M,1952,~,70,1,0,S,Driving Miss Daisy,1989,1989
37,Lew Ayres,M,1908,1996,88,1,0,L,Johnny Belinda,1948,1948
38,Lauren Bacall,F,1924,2014,89,1,0,S,"Mirror Has Two Faces, The",1996,1996
39,Hermione Baddeley,F,1906,1986,79,1,0,S,Room at the Top,1959,1959
40,Mary Badham,F,1952,~,70,1,0,S,To Kill a Mockingbird,1962,1962
41,Fay Bainter,F,1893,1968,74,3,1,1L0:2S1,Jezebel [n 1],1938,1961
